"1JTREC";"1ª TURMA RECURSAL"
"TOAXIPLAN";"PLANTÃO DE 1ª INSTÂNCIA - AXIXA"
"TOAXIPROT";"PROTOCOLO/DISTRIBUIÇÃO - AXIXA"
"TOCNJMUTI";"CNJ - MUTIRÃO"
"TOCOL1ECIV";"1ª Vara Cível de Colinas do Tocantins"
"TOCOL1ECIVJ";"Juízo da 1ª Vara Cível de Colinas do Tocantins"
"TOCOL1ECRI";"1ª Vara Criminal de Colinas do Tocantins"
"TOCOL1ECRIJ";"Juízo da 1ª Vara Criminal de Colinas do Tocantins"
"TOCOL1EFAM";"1ª Vara de Família Sucessões, Inf e Juventude de Colinas do Tocantins"
"TOCOL1EFAMJ";"Juízo da Vara de Família Sucessões, Inf e Juventude de Colinas do Tocantins"
"TOCOL2ECIV";"2ª Vara Cível de Colinas do Tocantins"
"TOCOL2ECIVJ";"Juízo da 2ª Vara Cível de Colinas do Tocantins"
"TOCOLCEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - COLINAS"
"TOCOLCEMAN";"CENTRAL DE MANDADOS - COLINAS DO TOCANTINS"
"TOCOLCONT";"CONTADORIA - COLINAS DO TOCANTINS"
"TOCOLDIFO";"DIRETORIA FORO - COLINAS DO TOCANTINS"
"TOCOLGG";"GGEM - NÚCLEO COLINAS"
"TOCOLJECRC";"Juizado Especial Criminal de Colinas do Tocantins"
"TOCOLJECRCJ";"Juízo do Juizado Especial Criminal de Colinas do Tocantins"
"TOCOLJUCCR";"Juizado Especial Cível de Colinas do Tocantins"
"TOCOLJUCCRJ";"Juízo do Juizado Especial Cível de Colinas do Tocantins"
"TOCOLJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - COLINAS"
"TOCOLPLAN";"PLANTÃO DE 1ª INSTÂNCIA - COLINAS DO TOCANTINS"
"TOCOLPROT";"PROTOCOLO/DISTRIBUIÇÃO - COLINAS DO TOCANTINS"
"TOCOLSECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - COLINAS"
"TOCOM1ECIV";"1ª Escrivania Cível de Colméia"
"TOCOM1ECIVJ";"Juízo da 1ª Escrivania Cível de Colméia"
"TOCOM1ECRI";"1ª Escrivania Criminal de Colméia"
"TOCOM1ECRIJ";"Juízo da 1ª Escrivania Criminal de Colméia"
"TOCOM2ECIV";"2ª Escrivania Cível de Colméia"
"TOCOM2ECIVJ";"Juízo da 2ª Escrivania Cível de Colméia"
"TOCOMCEMAN";"CENTRAL DE MANDADOS - COLMÉIA"
"TOCOMCONT";"CONTADORIA - COLMÉIA"
"TOCOMDIFO";"DIRETORIA FORO - COLMÉIA"
"TOCOMPLAN";"PLANTÃO DE 1ª INSTÂNCIA - COLMÉIA"
"TOCOMPROT";"PROTOCOLO/DISTRIBUIÇÃO - COLMÉIA"
"TOCONCILI";"CENTRAL DE CONCILIAÇÃO - PALMAS"
"TOCRI1ECIV";"1ª Escrivania Cível de Cristalândia"
"TOCRI1ECIVJ";"Juízo da 1ª Escrivania Cível de Cristalândia"
"TOCRI1ECRI";"1ª Escrivania Criminal de Cristalândia"
"TOCRI1ECRIJ";"Juízo da 1ª Escrivania Criminal de Cristalândia"
"TOCRICEMAN";"CENTRAL DE MANDADOS - CRISTALÂNDIA"
"TOCRICONT";"CONTADORIA - CRISTALÂNDIA"
"TOCRIDIFO";"DIRETORIA FORO - CRISTALÂNDIA"
"TOCRIPLAN";"PLANTÃO DE 1ª INSTÂNCIA - CRISTALÂNDIA"
"TOCRSPROT";"PROTOCOLO/DISTRIBUIÇÃO - CRISTALÂNDIA"
"TODIA1ECIV";"1ª Vara Cível de Dianópolis"
"TODIA1ECIVJ";"Juízo da 1ª Vara Cível de Dianópolis"
"TODIA1ECRI";"1ª Vara Criminal de Dianópolis"
"TODIA1ECRIJ";"Juízo da 1ª Vara Criminal de Dianópolis"
"TODIACEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - DIANÓPOLIS"
"TODIACEMAN";"CENTRAL DE MANDADOS - DIANÓPOLIS"
"TODIACONT";"CONTADORIA - DIANÓPOLIS"
"TODIADIFO";"DIRETORIA FORO - DIANÓPOLIS"
"TODIAEXECF";"CENTRAL DE EXECUÇÕES FISCAIS - DIANÓPOLIS"
"TODIAGG";"GGEM - NÚCLEO DIANÓPOLIS"
"TODIAJECCR";"Juizado Especial Cível de Dianópolis"
"TODIAJECCRJ";"Juízo do Juizado Especial Cível de Dianópolis"
"TODIAJECRC";"Juizado Especial Criminal de Dianópolis"
"TODIAJECRCJ";"Juízo do Juizado Especial Criminal de Dianópolis"
"TODIAJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA(CEJUSC) - DIANÓPOLIS"
"TODIAMULT";"EQUIPE MULTIDISCIPLINAR - DIANÓPOLIS"
"TODIAPLAN";"PLANTÃO DE 1ª INSTÂNCIA - DIANÓPOLIS"
"TODIAPROT";"PROTOCOLO/DISTRIBUIÇÃO - DIANÓPOLIS"
"TODIASECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - DIANÓPOLIS"
"TOFIG1ECIV";"1ª Escrivania Cível de Figueirópolis"
"TOFIG1ECIVJ";"Juízo da 1ª Escrivania Cível de Figueirópolis"
"TOFIG1ECRI";"1ª Escrivania Criminal de Figueirópolis"
"TOFIG1ECRIJ";"Juízo da 1ª Escrivania Criminal de Figueirópolis"
"TOFIGCEMAN";"CENTRAL DE MANDADOS - FIGUEIROPOLIS"
"TOFIGCONT";"CONTADORIA - FIGUEIROPOLIS"
"TOFIGDIFO";"DIRETORIA FORO - FIGUEIROPOLIS"
"TOFIGPLANT";"PLANTÃO DE 1ª INSTÂNCIA - FIGUERÓPOLIS"
