"1728";"Apelação / Reexame Necessário "
"1731";"Investigação contra magistrado"
"1733";"PROCEDIMENTO INVESTIGATÓRIO DO MP (PEÇAS DE INFORMAÇÃO)"
"10933";"HABILITAÇÃO PARA ADOÇÃO"
"10942";"Correição Parcial"
"10943";"AÇÃO PENAL - PROCEDIMENTO SUMÁRIO"
"10944";"AÇÃO PENAL - PROCEDIMENTO SUMARÍSSIMO"
"10960";"INCIDENTE DE SANIDADE MENTAL"
"10967";"MEDIDAS PROTETIVAS - ESTATUTO DO IDOSO "
"10970";"Conflito de competência"
"10972";"Exibição de Documento ou Coisa"
"10973";"Impugunação ao Valor da Causa"
"10974";"Incidente de Falsidade"
"10975";"Exceção de Impedimento"
"10976";"Exceção de Incompetência"
"10977";"Exceção de Suspeição"
"10979";"Petição"
"10980";"CUMPRIMENTO PROVISÓRIO DE DECISÃO"
"10981";"Impugnação ao Cumprimento de Decisão"
"11026";"Petição"
"11037";"AÇÃO PENAL MILITAR - PROCEDIMENTO ORDINÁRIO"
"11041";"INQUÉRITO POLICIAL MILITAR"
"11045";"DESERÇÃO DE OFICIAL"
"11046";"DESERÇÃO DE PRAÇA"
"11397";"EXTINÇÃO DAS OBRIGAÇÕES DO FALIDO"
"11398";"RECURSO EM SENTIDO ESTRITO/RECURSO EX OFFICIO"
"11399";"EXECUÇÃO DE MEDIDA DE SEGURANÇA"
"11553";"Intrução Provisória de Deserção"
"11787";"Assistência Judiciária"
"11788";"Exibição de Documento ou Coisa"
"11789";"Impugnação ao Valor da Causa"
"11790";"Impugnação de Assistência Judiciária"
"11793";"Justificação Criminal"
"11794";"Infracional"
"11798";"Processo de Aplicação de Medida de Segurança Por Fato Não Criminoso"
"11799";"Instrução Provisória de Insubmissão"
"11800";"Instrução Provisória de Deserção"
"11875";"processual"
"11955";"Cautelar Inominada Criminal"
"11957";"Remição de Pena"
"11976";"Pedido de Busca e Apreensão Infracional"
"12070";"Pedido de Medida de Proteção"
"12072";"Busca e Apreensão"
"12073";"Internação Provisória"
"12074";"Pedido De Desinternação/Reavaliação/Substituição/Suspensão da Medida"
"12075";"Procedimento Conciliatório"
"12076";"Restabelecimento do Poder Familiar"
"12077";"Homologação em Acordo de Colaboração Premiada"
"12078";"Cumprimento de Sentença contra a Fazenda Pública"
"12080";"Incidente de Impedimento"
"12081";"Incidente de Suspeição"
"12082";"Carta Arbitral"
"12083";"Tutela Antecipada Antecedente"
"12084";"Tutela Cautelar Antecedente"
"12085";"Incidente de Resolução de Demandas Repetitivas"
"12086";"Dissolução Parcial de Sociedade"
"12087";"Incidente de Assunção de Competência"
"12088";"Liquidação Provisória de Sentença pelo Procedimento Comum"
"12089";"Renovação de Permanência em Estabelecimento Penal Federal"
